accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score,Risk Index,Risk Category,Year,Month Number,Month Name
82,Kolkata,West Bengal,22.641847,88.381884,05-Nov-24,10:00:00 PM,22,Tuesday,0,rural,1,1,fog,low,30,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2024,11,November
690,Delhi,Delhi,28.624052,76.83438,11-Sep-23,07:00:00 AM,7,Monday,0,rural,3,0,fog,low,35,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2023,9,September
1039,Chandigarh,Punjab,30.722189,76.863797,02-Dec-24,04:00:00 AM,4,Monday,0,rural,5,0,fog,low,19,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2024,12,December
1163,Chandigarh,Punjab,30.778238,76.766373,01-Jun-23,01:00:00 PM,13,Thursday,0,highway,3,1,fog,low,18,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2023,6,June
1282,Hyderabad,Telangana,17.495218,78.31752,12-Jun-22,12:00:00 AM,0,Sunday,1,urban,3,0,fog,low,28,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2022,6,June
1360,Chennai,Tamil Nadu,13.16312,80.183735,22-Jun-24,04:00:00 AM,4,Saturday,1,rural,6,0,fog,low,15,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2024,6,June
1486,Chandigarh,Punjab,30.662256,76.817778,26-Feb-25,04:00:00 AM,4,Wednesday,0,urban,4,0,fog,low,31,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2025,2,February
2035,Hyderabad,Telangana,17.469778,78.5524,23-Apr-24,11:00:00 PM,23,Tuesday,0,urban,5,0,fog,low,15,low,weather,minor,1,0,0,None,0.45,45,Moderate,2024,4,April
2176,Bangalore,Karnataka,13.036642,77.510312,02-May-23,11:00:00 PM,23,Tuesday,0,urban,4,0,fog,low,34,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2023,5,May
2549,Chennai,Tamil Nadu,12.975234,80.216203,01-Jul-22,10:00:00 PM,22,Friday,0,urban,5,0,fog,low,25,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,7,July
