hotspot_cluster,hotspot_score,hotspot_level,accident_count,fatal_accidents,major_accidents,minor_accidents,total_casualties,average_latitude,average_longitude,city,state,average_risk_score,high_risk_count,critical_risk_count
8,92.71,Critical Hotspot,29,7,7,15,67.0,30.61373772413793,76.77142437931035,Chandigarh,Punjab,0.5172413793103448,9,2
9,66.43,High Risk Hotspot,34,2,11,21,54.0,30.764124676470594,76.8884580882353,Chandigarh,Punjab,0.44264705882352945,5,0
3,64.44,High Risk Hotspot,23,5,5,13,41.0,30.65163034782608,76.72457717391303,Chandigarh,Punjab,0.4804347826086957,7,0
5,60.44,High Risk Hotspot,28,3,13,12,39.0,30.676651357142852,76.76943225000001,Chandigarh,Punjab,0.45357142857142857,6,0
0,57.33,High Risk Hotspot,24,3,8,13,41.0,30.678868374999997,76.725473125,Chandigarh,Punjab,0.47500000000000003,7,0
6,54.06,High Risk Hotspot,23,2,8,13,42.0,30.651015130434793,76.79461821739129,Chandigarh,Punjab,0.45,8,0
7,53.62,High Risk Hotspot,20,5,7,8,33.0,30.7096792,76.83125785000001,Chandigarh,Punjab,0.43,5,0
1,39.93,Moderate Hotspot,17,3,7,7,30.0,30.610817823529413,76.70306364705883,Chandigarh,Punjab,0.4205882352941177,5,0
2,36.26,Moderate Hotspot,15,3,7,5,27.0,30.677573333333335,76.79104866666665,Chandigarh,Punjab,0.49999999999999994,5,2
22,35.65,Moderate Hotspot,16,2,4,10,27.0,30.793611625,76.8721806875,Chandigarh,Punjab,0.45,6,0
26,30.5,Moderate Hotspot,15,2,3,10,30.0,30.691889266666667,76.83662266666667,Chandigarh,Punjab,0.4333333333333333,4,0
32,30.24,Moderate Hotspot,11,4,1,6,18.0,30.661820000000002,76.87907181818183,Chandigarh,Punjab,0.5272727272727272,4,2
37,29.28,Moderate Hotspot,10,4,2,4,20.0,30.625164899999998,76.7534524,Chandigarh,Punjab,0.5650000000000001,4,1
21,28.94,Moderate Hotspot,15,1,6,8,32.0,30.706183199999998,76.87148753333334,Chandigarh,Punjab,0.4866666666666666,5,0
15,28.81,Moderate Hotspot,20,1,9,10,29.0,30.667794000000004,76.72731920000001,Chandigarh,Punjab,0.33249999999999996,2,0
12,27.16,Moderate Hotspot,15,1,4,10,16.0,30.78942106666667,76.8295662,Chandigarh,Punjab,0.46,6,0
31,25.25,Moderate Hotspot,10,3,2,5,21.0,30.732026,76.7663232,Chandigarh,Punjab,0.475,4,0
27,24.86,Low Risk Hotspot,13,2,4,7,28.0,30.671753923076924,76.80125807692308,Chandigarh,Punjab,0.4923076923076923,3,0
16,23.1,Low Risk Hotspot,14,2,7,5,24.0,30.795918714285712,76.70798514285714,Chandigarh,Punjab,0.3857142857142858,2,0
23,22.97,Low Risk Hotspot,12,3,2,7,18.0,30.735730833333335,76.71689275000001,Chandigarh,Punjab,0.45,2,1
4,22.29,Low Risk Hotspot,14,1,3,10,29.0,30.626130071428573,76.80449957142856,Chandigarh,Punjab,0.4535714285714286,3,0
18,22.21,Low Risk Hotspot,10,2,2,6,26.0,30.738693500000004,76.7082804,Chandigarh,Punjab,0.52,4,0
19,20.36,Low Risk Hotspot,11,1,6,4,21.0,18.536719909090912,73.81535081818183,Pune,Maharashtra,0.4772727272727273,5,0
10,19.04,Low Risk Hotspot,11,3,2,6,17.0,30.642798727272726,76.71645818181818,Chandigarh,Punjab,0.40454545454545454,1,0
34,16.74,Low Risk Hotspot,10,2,0,8,13.0,30.7086854,76.8578154,Chandigarh,Punjab,0.49000000000000005,3,1
11,15.53,Low Risk Hotspot,12,0,5,7,13.0,30.751069333333337,76.88467533333333,Chandigarh,Punjab,0.5458333333333333,5,0
33,12.54,Low Risk Hotspot,10,2,2,6,14.0,30.633302300000004,76.8319322,Chandigarh,Punjab,0.38,1,0
30,11.98,Low Risk Hotspot,10,1,4,5,20.0,30.778148699999996,76.7158948,Chandigarh,Punjab,0.46499999999999997,2,0
20,11.57,Low Risk Hotspot,10,2,4,4,19.0,30.732119599999997,76.84999260000001,Chandigarh,Punjab,0.32,0,0
28,10.98,Low Risk Hotspot,10,1,6,3,16.0,30.7839337,76.8105468,Chandigarh,Punjab,0.45,2,0
29,9.01,Low Risk Hotspot,10,1,3,6,17.0,30.791093999999998,76.8948441,Chandigarh,Punjab,0.42000000000000004,1,1
24,8.42,Low Risk Hotspot,10,0,4,6,14.0,30.6197068,76.84578810000001,Chandigarh,Punjab,0.5,3,0
25,8.14,Low Risk Hotspot,12,0,8,4,19.0,30.760967416666663,76.82780358333333,Chandigarh,Punjab,0.35833333333333334,1,0
17,7.43,Low Risk Hotspot,11,0,3,8,22.0,30.73561809090909,76.89545499999998,Chandigarh,Punjab,0.3681818181818182,1,0
13,6.69,Low Risk Hotspot,10,0,3,7,16.0,30.6630247,76.8310302,Chandigarh,Punjab,0.44000000000000006,2,0
35,5.43,Low Risk Hotspot,11,0,1,10,14.0,30.71775418181818,76.76529536363635,Chandigarh,Punjab,0.38636363636363635,1,0
36,3.71,Low Risk Hotspot,11,0,4,7,16.0,30.78647681818182,76.86342027272727,Chandigarh,Punjab,0.3727272727272728,0,0
14,0.0,Low Risk Hotspot,10,0,3,7,7.0,30.7251957,76.88986249999999,Chandigarh,Punjab,0.33999999999999997,0,0
